Mã,Tên SP,BH (Tháng),Giá bán,Tồn HN,Tồn SG,Ngành hàng,Thương hiệu,Action
CP000038,Bộ vi xử lý INTEL Core I5 10400F Tray,36,2030000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000042,Bộ vi xử lý INTEL Core I5 11400F Tray,36,2260000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000044,Bộ vi xử lý INTEL Core I5 12400 Tray2,4590000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000048,Bộ vi xử lý INTEL Core I5 12400F Tray,36,3180000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP012975,Bộ vi xử lý INTEL Core I5 12500 tray,36,5130000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP006891,Bộ vi xử lý INTEL Core I5 12600KF Tray,36,4780000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000050,Bộ vi xử lý INTEL Core I5 13400 BOX NK,36,6490000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000051,Bộ vi xử lý INTEL Core I5 13400 Tray,36,6430000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000052,Bộ vi xử lý INTEL Core I5 10400F Tray,36,3750000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP000053,Bộ vi xử lý INTEL Core I5 13500 Tray,36,6180000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
CP009937,Bộ vi xử lý INTEL Core I5 14400 Tray,36,6450000.0000,0.0,0.0,CPU PC,INTEL,"<a href=""https://honganh.vn/uu-dai-10-khi-mua-don-hang-dau-tien-tren-app-dai-ly-hong-anh/?utm_source=price-quote&utm_medium=buy-now-btn"" target=""_blank"">Mua ngay</a>"
